Wteam,Lteam,Wloc
Milwaukee Bucks,Brooklyn Nets,H
Golden State Warriors,Los Angeles Lakers,V
Charlotte Hornets,Indiana Pacers,H
Chicago Bulls,Detroit Pistons,V
New York Knicks,Boston Celtics,H
Washington Wizards,Toronto Raptors,V
Memphis Grizzlies,Cleveland Cavaliers,H
Minnesota Timberwolves,Houston Rockets,H
Philadelphia 76ers,New Orleans Pelicans,V
San Antonio Spurs,Orlando Magic,H
Utah Jazz,Oklahoma City Thunder,H
Sacramento Kings,Portland Trail Blazers,V
Denver Nuggets,Phoenix Suns,V
Atlanta Hawks,Dallas Mavericks,H
Miami Heat,Milwaukee Bucks,H
Golden State Warriors,Los Angeles Clippers,H
New York Knicks,Orlando Magic,V
Washington Wizards,Indiana Pacers,H
Charlotte Hornets,Cleveland Cavaliers,V
Toronto Raptors,Boston Celtics,V
Brooklyn Nets,Philadelphia 76ers,V
Houston Rockets,Oklahoma City Thunder,H
Chicago Bulls,New Orleans Pelicans,H
Denver Nuggets,San Antonio Spurs,H
Phoenix Suns,Los Angeles Lakers,V
Utah Jazz,Sacramento Kings,V
Cleveland Cavaliers,Atlanta Hawks,H
Indiana Pacers,Miami Heat,H
Dallas Mavericks,Toronto Raptors,V
Chicago Bulls,Detroit Pistons,H
Minnesota Timberwolves,New Orleans Pelicans,H
Milwaukee Bucks,San Antonio Spurs,V
Portland Trail Blazers,Phoenix Suns,H
Memphis Grizzlies,Los Angeles Clippers,V
Charlotte Hornets,Brooklyn Nets,V
Boston Celtics,Houston Rockets,V
Orlando Magic,New York Knicks,V
Philadelphia 76ers,Oklahoma City Thunder,V
Golden State Warriors,Sacramento Kings,V
Los Angeles Lakers,Memphis Grizzlies,H
Boston Celtics,Charlotte Hornets,V
Milwaukee Bucks,Indiana Pacers,V
Chicago Bulls,Toronto Raptors,V
Miami Heat,Orlando Magic,H
Brooklyn Nets,Washington Wizards,H
Atlanta Hawks,Detroit Pistons,H
New Orleans Pelicans,Minnesota Timberwolves,V
Cleveland Cavaliers,Denver Nuggets,V
Los Angeles Clippers,Portland Trail Blazers,H
New York Knicks,Philadelphia 76ers,H
Golden State Warriors,Oklahoma City Thunder,V
Los Angeles Lakers,San Antonio Spurs,V
Dallas Mavericks,Houston Rockets,H
Utah Jazz,Denver Nuggets,H
Charlotte Hornets,Orlando Magic,V
Washington Wizards,Boston Celtics,V
Miami Heat,Brooklyn Nets,V
Toronto Raptors,Indiana Pacers,H
Atlanta Hawks,New Orleans Pelicans,V
Minnesota Timberwolves,Milwaukee Bucks,V
Oklahoma City Thunder,Los Angeles Lakers,H
Sacramento Kings,Phoenix Suns,V
Portland Trail Blazers,Memphis Grizzlies,H
Cleveland Cavaliers,Los Angeles Clippers,V
Washington Wizards,Atlanta Hawks,H
Philadelphia 76ers,Detroit Pistons,H
Utah Jazz,Houston Rockets,V
New York Knicks,Chicago Bulls,V
Dallas Mavericks,San Antonio Spurs,H
Memphis Grizzlies,Golden State Warriors,V
Toronto Raptors,Orlando Magic,H
Miami Heat,Charlotte Hornets,H
Brooklyn Nets,Indiana Pacers,H
Sacramento Kings,New Orleans Pelicans,V
Denver Nuggets,Dallas Mavericks,H
Portland Trail Blazers,Los Angeles Clippers,H
Los Angeles Lakers,Cleveland Cavaliers,H
Washington Wizards,Boston Celtics,H
Detroit Pistons,Orlando Magic,H
New York Knicks,New Orleans Pelicans,V
Toronto Raptors,Indiana Pacers,V
Philadelphia 76ers,Atlanta Hawks,H
Chicago Bulls,Utah Jazz,H
Miami Heat,Memphis Grizzlies,V
San Antonio Spurs,Milwaukee Bucks,V
Golden State Warriors,Oklahoma City Thunder,H
Denver Nuggets,Minnesota Timberwolves,V
Phoenix Suns,Cleveland Cavaliers,H
Dallas Mavericks,Sacramento Kings,H
Charlotte Hornets,Portland Trail Blazers,H
Utah Jazz,Milwaukee Bucks,V
Brooklyn Nets,Detroit Pistons,H
Los Angeles Lakers,Houston Rockets,H
Cleveland Cavaliers,Charlotte Hornets,V
Indiana Pacers,San Antonio Spurs,H
Philadelphia 76ers,Portland Trail Blazers,H
Atlanta Hawks,Washington Wizards,H
Chicago Bulls,Boston Celtics,V
Toronto Raptors,New York Knicks,V
Memphis Grizzlies,Denver Nuggets,H
Orlando Magic,Minnesota Timberwolves,V
Los Angeles Clippers,Oklahoma City Thunder,H
Milwaukee Bucks,Detroit Pistons,V
Miami Heat,Dallas Mavericks,V
Utah Jazz,Sacramento Kings,H
Phoenix Suns,New Orleans Pelicans,H
Los Angeles Lakers,Houston Rockets,H
Cleveland Cavaliers,Portland Trail Blazers,H
Indiana Pacers,New York Knicks,H
Boston Celtics,Orlando Magic,V
Philadelphia 76ers,Chicago Bulls,H
Toronto Raptors,Washington Wizards,V
Brooklyn Nets,Atlanta Hawks,H
Memphis Grizzlies,Denver Nuggets,H
Los Angeles Clippers,Minnesota Timberwolves,V
Dallas Mavericks,San Antonio Spurs,V
Golden State Warriors,Charlotte Hornets,H
Sacramento Kings,New Orleans Pelicans,H
Philadelphia 76ers,Detroit Pistons,V
Utah Jazz,Atlanta Hawks,V
Boston Celtics,Miami Heat,V
Phoenix Suns,Houston Rockets,H
Oklahoma City Thunder,Los Angeles Lakers,V
Brooklyn Nets,Detroit Pistons,V
San Antonio Spurs,Orlando Magic,V
Washington Wizards,Memphis Grizzlies,H
New York Knicks,Milwaukee Bucks,V
Cleveland Cavaliers,Toronto Raptors,V
Los Angeles Clippers,Minnesota Timberwolves,V
Golden State Warriors,New Orleans Pelicans,H
Portland Trail Blazers,Indiana Pacers,H
Sacramento Kings,Charlotte Hornets,H
Denver Nuggets,Houston Rockets,H
Miami Heat,Utah Jazz,H
Philadelphia 76ers,Chicago Bulls,V
Dallas Mavericks,Boston Celtics,H
Phoenix Suns,Atlanta Hawks,H
Portland Trail Blazers,Los Angeles Lakers,H
Brooklyn Nets,Toronto Raptors,V
Cleveland Cavaliers,New York Knicks,V
Orlando Magic,Utah Jazz,H
Indiana Pacers,Sacramento Kings,V
Washington Wizards,Milwaukee Bucks,H
Oklahoma City Thunder,San Antonio Spurs,H
Golden State Warriors,Houston Rockets,H
Los Angeles Clippers,Charlotte Hornets,H
New York Knicks,Philadelphia 76ers,V
Chicago Bulls,Brooklyn Nets,H
Memphis Grizzlies,Minnesota Timberwolves,H
Dallas Mavericks,New Orleans Pelicans,H
Denver Nuggets,Miami Heat,H
Golden State Warriors,Atlanta Hawks,H
Phoenix Suns,Sacramento Kings,V
Los Angeles Lakers,Charlotte Hornets,H
Milwaukee Bucks,Philadelphia 76ers,V
Utah Jazz,Atlanta Hawks,H
Los Angeles Clippers,Portland Trail Blazers,H
Washington Wizards,Cleveland Cavaliers,V
Brooklyn Nets,Orlando Magic,V
Boston Celtics,Toronto Raptors,H
Detroit Pistons,Houston Rockets,V
Milwaukee Bucks,New York Knicks,V
Chicago Bulls,Dallas Mavericks,H
Charlotte Hornets,Memphis Grizzlies,V
Oklahoma City Thunder,New Orleans Pelicans,V
San Antonio Spurs,Sacramento Kings,H
Denver Nuggets,Indiana Pacers,H
Phoenix Suns,Portland Trail Blazers,H
Golden State Warriors,Minnesota Timberwolves,H
Los Angeles Lakers,Miami Heat,H
Toronto Raptors,Philadelphia 76ers,V
Indiana Pacers,Utah Jazz,V
Los Angeles Clippers,Miami Heat,H
Charlotte Hornets,New York Knicks,H
Boston Celtics,Milwaukee Bucks,H
Cleveland Cavaliers,Detroit Pistons,H
Portland Trail Blazers,Houston Rockets,V
Phoenix Suns,Memphis Grizzlies,V
Brooklyn Nets,New Orleans Pelicans,V
Oklahoma City Thunder,Sacramento Kings,H
Dallas Mavericks,San Antonio Spurs,V
Denver Nuggets,Atlanta Hawks,H
Golden State Warriors,Chicago Bulls,H
Minnesota Timberwolves,Los Angeles Lakers,V
Miami Heat,Utah Jazz,V
Indiana Pacers,Philadelphia 76ers,H
New Orleans Pelicans,Memphis Grizzlies,H
Washington Wizards,Orlando Magic,V
Detroit Pistons,Toronto Raptors,V
Cleveland Cavaliers,Boston Celtics,H
Los Angeles Clippers,Minnesota Timberwolves,H
Los Angeles Lakers,San Antonio Spurs,H
Atlanta Hawks,Milwaukee Bucks,H
Charlotte Hornets,Golden State Warriors,H
Phoenix Suns,Houston Rockets,V
Brooklyn Nets,Oklahoma City Thunder,V
Denver Nuggets,Portland Trail Blazers,H
Chicago Bulls,Los Angeles Clippers,V
Boston Celtics,Cleveland Cavaliers,V
Sacramento Kings,Detroit Pistons,V
Washington Wizards,New Orleans Pelicans,H
Atlanta Hawks,Orlando Magic,H
New York Knicks,Indiana Pacers,H
Dallas Mavericks,Denver Nuggets,H
Memphis Grizzlies,Houston Rockets,H
Phoenix Suns,Minnesota Timberwolves,V
Miami Heat,Oklahoma City Thunder,V
Portland Trail Blazers,Toronto Raptors,H
Chicago Bulls,Los Angeles Lakers,V
Golden State Warriors,Brooklyn Nets,V
Utah Jazz,Philadelphia 76ers,H
Los Angeles Clippers,San Antonio Spurs,H
Charlotte Hornets,Washington Wizards,H
Detroit Pistons,Indiana Pacers,H
Atlanta Hawks,Boston Celtics,H
Brooklyn Nets,Cleveland Cavaliers,H
Miami Heat,New Orleans Pelicans,H
Milwaukee Bucks,Los Angeles Lakers,H
Orlando Magic,New York Knicks,V
Minnesota Timberwolves,Sacramento Kings,H
Oklahoma City Thunder,Houston Rockets,H
Phoenix Suns,Dallas Mavericks,H
Portland Trail Blazers,Chicago Bulls,H
Golden State Warriors,Cleveland Cavaliers,V
Miami Heat,Washington Wizards,H
Memphis Grizzlies,Los Angeles Clippers,H
Minnesota Timberwolves,San Antonio Spurs,H
Philadelphia 76ers,Denver Nuggets,V
Utah Jazz,Toronto Raptors,H
Charlotte Hornets,Indiana Pacers,H
Golden State Warriors,Detroit Pistons,V
Boston Celtics,Los Angeles Lakers,H
Brooklyn Nets,Orlando Magic,H
Milwaukee Bucks,Oklahoma City Thunder,H
New Orleans Pelicans,Los Angeles Clippers,H
Chicago Bulls,Denver Nuggets,V
Phoenix Suns,Dallas Mavericks,H
Toronto Raptors,Sacramento Kings,V
New York Knicks,Houston Rockets,H
Indiana Pacers,New Orleans Pelicans,H
Washington Wizards,Miami Heat,H
Atlanta Hawks,Charlotte Hornets,H
Boston Celtics,Oklahoma City Thunder,H
Milwaukee Bucks,Orlando Magic,H
Minnesota Timberwolves,Memphis Grizzlies,H
Portland Trail Blazers,Philadelphia 76ers,H
Utah Jazz,Sacramento Kings,V
Los Angeles Clippers,Dallas Mavericks,H
Los Angeles Lakers,Detroit Pistons,V
Chicago Bulls,New York Knicks,H
Phoenix Suns,Denver Nuggets,H
Golden State Warriors,Toronto Raptors,H
Brooklyn Nets,Cleveland Cavaliers,V
Charlotte Hornets,Washington Wizards,V
Atlanta Hawks,Oklahoma City Thunder,H
Boston Celtics,Houston Rockets,H
Indiana Pacers,Chicago Bulls,V
Milwaukee Bucks,Orlando Magic,H
Minnesota Timberwolves,New Orleans Pelicans,V
Phoenix Suns,San Antonio Spurs,V
Memphis Grizzlies,Utah Jazz,V
Philadelphia 76ers,Sacramento Kings,V
Miami Heat,Detroit Pistons,V
New York Knicks,Los Angeles Lakers,H
Portland Trail Blazers,Denver Nuggets,H
Dallas Mavericks,Los Angeles Clippers,V
Phoenix Suns,Cleveland Cavaliers,V
Los Angeles Lakers,Indiana Pacers,V
Charlotte Hornets,Orlando Magic,V
Brooklyn Nets,Boston Celtics,V
Houston Rockets,Chicago Bulls,H
Toronto Raptors,Memphis Grizzlies,V
Milwaukee Bucks,Detroit Pistons,H
Minnesota Timberwolves,Miami Heat,H
New Orleans Pelicans,Washington Wizards,H
Utah Jazz,Oklahoma City Thunder,V
Atlanta Hawks,San Antonio Spurs,V
Golden State Warriors,Philadelphia 76ers,H
Sacramento Kings,Portland Trail Blazers,H
Los Angeles Clippers,Detroit Pistons,H
Charlotte Hornets,Minnesota Timberwolves,H
Phoenix Suns,New York Knicks,V
Chicago Bulls,Orlando Magic,V
Indiana Pacers,Toronto Raptors,H
Atlanta Hawks,Memphis Grizzlies,V
Washington Wizards,Oklahoma City Thunder,V
San Antonio Spurs,Boston Celtics,H
Milwaukee Bucks,Denver Nuggets,V
New Orleans Pelicans,Utah Jazz,V
Golden State Warriors,Portland Trail Blazers,H
Sacramento Kings,Los Angeles Lakers,V
Minnesota Timberwolves,Philadelphia 76ers,V
New York Knicks,Atlanta Hawks,V
Phoenix Suns,Brooklyn Nets,V
Miami Heat,Chicago Bulls,V
Cleveland Cavaliers,Orlando Magic,H
Houston Rockets,Charlotte Hornets,H
Washington Wizards,Dallas Mavericks,V
Utah Jazz,New Orleans Pelicans,H
Golden State Warriors,Los Angeles Clippers,V
Milwaukee Bucks,Indiana Pacers,V
Memphis Grizzlies,Sacramento Kings,H
Boston Celtics,Toronto Raptors,V
Los Angeles Lakers,Detroit Pistons,H
Philadelphia 76ers,Orlando Magic,H
Denver Nuggets,Miami Heat,V
Chicago Bulls,Charlotte Hornets,H
Houston Rockets,Oklahoma City Thunder,H
Minnesota Timberwolves,Indiana Pacers,H
Cleveland Cavaliers,Dallas Mavericks,V
San Antonio Spurs,Washington Wizards,H
Utah Jazz,Portland Trail Blazers,H
New Orleans Pelicans,Los Angeles Clippers,V
Brooklyn Nets,New York Knicks,H
Memphis Grizzlies,Toronto Raptors,V
Phoenix Suns,Golden State Warriors,H
Portland Trail Blazers,Detroit Pistons,H
Los Angeles Lakers,Sacramento Kings,V
Atlanta Hawks,Indiana Pacers,V
Orlando Magic,Denver Nuggets,H
Washington Wizards,Minnesota Timberwolves,H
Boston Celtics,Philadelphia 76ers,H
Cleveland Cavaliers,Miami Heat,V
Milwaukee Bucks,Charlotte Hornets,H
Dallas Mavericks,New Orleans Pelicans,V
Houston Rockets,Oklahoma City Thunder,V
Sacramento Kings,Los Angeles Clippers,V
Chicago Bulls,New York Knicks,V
Toronto Raptors,Milwaukee Bucks,H
Memphis Grizzlies,Oklahoma City Thunder,H
Phoenix Suns,Detroit Pistons,H
San Antonio Spurs,Portland Trail Blazers,V
Miami Heat,Indiana Pacers,V
Cleveland Cavaliers,Washington Wizards,V
Philadelphia 76ers,Atlanta Hawks,V
Brooklyn Nets,Minnesota Timberwolves,H
Houston Rockets,Orlando Magic,H
New Orleans Pelicans,Dallas Mavericks,V
Utah Jazz,Boston Celtics,H
Golden State Warriors,Phoenix Suns,H
Los Angeles Clippers,Los Angeles Lakers,V
Denver Nuggets,New York Knicks,V
Chicago Bulls,Brooklyn Nets,V
Milwaukee Bucks,Miami Heat,H
Memphis Grizzlies,Dallas Mavericks,V
San Antonio Spurs,Golden State Warriors,V
Boston Celtics,Portland Trail Blazers,V
Sacramento Kings,Los Angeles Clippers,H
Utah Jazz,Cleveland Cavaliers,V
Charlotte Hornets,Atlanta Hawks,V
Toronto Raptors,Washington Wizards,H
Houston Rockets,New Orleans Pelicans,H
Philadelphia 76ers,Charlotte Hornets,V
Oklahoma City Thunder,Detroit Pistons,V
Indiana Pacers,Washington Wizards,H
Memphis Grizzlies,Miami Heat,V
Chicago Bulls,Denver Nuggets,H
Milwaukee Bucks,Cleveland Cavaliers,H
Atlanta Hawks,Minnesota Timberwolves,V
Phoenix Suns,San Antonio Spurs,H
Golden State Warriors,Orlando Magic,H
Los Angeles Clippers,Portland Trail Blazers,V
Brooklyn Nets,Dallas Mavericks,V
New York Knicks,San Antonio Spurs,V
Los Angeles Lakers,Boston Celtics,H
Philadelphia 76ers,Charlotte Hornets,V
Cleveland Cavaliers,Chicago Bulls,H
Washington Wizards,Detroit Pistons,V
Indiana Pacers,New York Knicks,H
Miami Heat,Milwaukee Bucks,H
Oklahoma City Thunder,Toronto Raptors,V
Houston Rockets,Brooklyn Nets,H
Dallas Mavericks,Memphis Grizzlies,V
Utah Jazz,Minnesota Timberwolves,V
Denver Nuggets,New Orleans Pelicans,V
Golden State Warriors,Portland Trail Blazers,H
Sacramento Kings,Orlando Magic,H
Los Angeles Clippers,Boston Celtics,H
Utah Jazz,Philadelphia 76ers,V
Memphis Grizzlies,Los Angeles Lakers,H
San Antonio Spurs,Denver Nuggets,H
Charlotte Hornets,Sacramento Kings,H
Indiana Pacers,Dallas Mavericks,H
Brooklyn Nets,Atlanta Hawks,V
Toronto Raptors,New York Knicks,H
Milwaukee Bucks,Houston Rockets,V
Cleveland Cavaliers,Minnesota Timberwolves,V
New Orleans Pelicans,Detroit Pistons,H
Los Angeles Lakers,Oklahoma City Thunder,V
Phoenix Suns,Boston Celtics,H
Los Angeles Clippers,Orlando Magic,H
Utah Jazz,Washington Wizards,V
Cleveland Cavaliers,Sacramento Kings,H
Memphis Grizzlies,Houston Rockets,H
Miami Heat,Chicago Bulls,H
Philadelphia 76ers,Golden State Warriors,H
Denver Nuggets,San Antonio Spurs,V
Milwaukee Bucks,New York Knicks,V
Brooklyn Nets,Detroit Pistons,V
Dallas Mavericks,Oklahoma City Thunder,V
San Antonio Spurs,New Orleans Pelicans,H
Minnesota Timberwolves,Portland Trail Blazers,V
Los Angeles Lakers,Orlando Magic,H
Cleveland Cavaliers,Miami Heat,H
Golden State Warriors,Indiana Pacers,V
Toronto Raptors,Sacramento Kings,H
Houston Rockets,Atlanta Hawks,V
Boston Celtics,Milwaukee Bucks,H
Memphis Grizzlies,Philadelphia 76ers,H
Dallas Mavericks,Charlotte Hornets,H
Denver Nuggets,Washington Wizards,H
Los Angeles Clippers,Phoenix Suns,H
Brooklyn Nets,Toronto Raptors,H
Golden State Warriors,New York Knicks,V
Phoenix Suns,Portland Trail Blazers,V
Cleveland Cavaliers,Houston Rockets,H
Atlanta Hawks,Orlando Magic,V
Miami Heat,Philadelphia 76ers,V
Los Angeles Lakers,Dallas Mavericks,V
Milwaukee Bucks,Indiana Pacers,H
New Orleans Pelicans,Oklahoma City Thunder,V
Charlotte Hornets,San Antonio Spurs,V
Minnesota Timberwolves,Denver Nuggets,V
Memphis Grizzlies,Portland Trail Blazers,V
Sacramento Kings,Washington Wizards,H
Utah Jazz,Los Angeles Clippers,H
Indiana Pacers,Detroit Pistons,H
Brooklyn Nets,Philadelphia 76ers,H
New York Knicks,Houston Rockets,V
Phoenix Suns,Washington Wizards,H
Miami Heat,Orlando Magic,V
Denver Nuggets,Atlanta Hawks,V
Golden State Warriors,Boston Celtics,V
New Orleans Pelicans,Milwaukee Bucks,H
San Antonio Spurs,Utah Jazz,V
Minnesota Timberwolves,Los Angeles Lakers,H
Portland Trail Blazers,Charlotte Hornets,H
Memphis Grizzlies,Sacramento Kings,V
Houston Rockets,Detroit Pistons,V
